Artist,Location,TW_station/Streaming links,Strem In,Stream Out
Stefan,Berlin,Station1,rtsp://eu.aejaa.com:8559/mystream,rtmp://eu.aejaa.com:1936/live/test
Shandor,Paris,Station2,rtsp://eu.aejaa.com:8554/mystream,rtmp://eu.aejaa.com:1937/live/test
Markus,Toronto,Station3,rtsp://toronto.aejaa.com:8554/mystream,rtmp://toronto.aejaa.com:1936/live/test
Vincent,LosAngeles,Station4,rtsp://la.aejaa.com:8554/mystream,rtmp://la.aejaa.com:1936/live/test
Richard,Tokyo,Station5,rtsp://tokyo.aejaa.com:8554/mystream,rtmp://tokyo.aejaa.com:1936/live/test
Roy,Amsterdam,Station6,rtsp://eu.aejaa.com:8556/mystream,rtmp://eu.aejaa.com:1939/live/test
